Date,Close
2010-12-08,2093639.0
2010-12-09,2069504.375
2010-12-10,2056934.5
2010-12-13,2019224.75
2010-12-14,2018721.75
2010-12-15,2093639.0
2010-12-16,2157494.0
2010-12-17,2155482.0
2010-12-20,2121794.75
2010-12-21,2128834.0
2010-12-22,2174086.25
2010-12-23,2141404.5
2010-12-27,2168555.75
2010-12-28,2052912.0
2010-12-29,2039839.875
2010-12-30,2071012.75
2010-12-31,2030286.5
2011-01-03,2076543.625
2011-01-04,2193191.75
2011-01-05,2249505.5
2011-01-06,2365148.0
2011-01-07,2366152.75
2011-01-10,2350567.25
2011-01-11,2257549.75
2011-01-12,2264086.0
2011-01-13,2415930.25
2011-01-14,2513472.5
2011-01-18,2430511.75
2011-01-19,2475260.25
2011-01-20,2540121.0
2011-01-21,2594422.25
2011-01-24,2647719.0
2011-01-25,2683417.5
2011-01-26,2470232.25
2011-01-27,2599451.0
2011-01-28,2542634.25
2011-01-31,2578835.75
2011-02-01,2431014.75
2011-02-02,2475260.25
2011-02-03,2331460.5
2011-02-04,2365148.0
2011-02-07,2369170.0
2011-02-08,2262075.0
2011-02-09,2331460.5
2011-02-10,2374198.5
2011-02-11,2404869.5
2011-02-14,2334478.0
2011-02-15,2248499.5
2011-02-16,2221851.0
2011-02-17,2178611.0
2011-02-18,2130846.0
2011-02-22,2165537.75
2011-02-23,2085090.75
2011-02-24,2216823.5
2011-02-25,2122800.75
2011-02-28,2056934.5
2011-03-01,1994085.0
2011-03-02,1985035.25
2011-03-03,2043359.5
2011-03-04,2014699.875
2011-03-07,2041850.75
2011-03-08,2078554.875
2011-03-09,2116264.5
2011-03-10,2264589.0
2011-03-11,2182633.5
2011-03-14,2192688.75
2011-03-15,2288723.5
2011-03-16,2389784.75
2011-03-17,2350064.25
2011-03-18,2272633.75
2011-03-21,2157996.75
2011-03-22,2141404.5
2011-03-23,1993079.5
2011-03-24,2007158.0
2011-03-25,2041348.125
2011-03-28,2112242.0
2011-03-29,2107214.5
2011-03-30,2025258.5
2011-03-31,1996599.5
2011-04-01,2018219.75
2011-04-04,2013191.5
2011-04-05,1820621.125
2011-04-06,1812576.0
2011-04-07,1826151.625
2011-04-08,1749727.125
2011-04-11,1846263.75
2011-04-12,1906598.875
2011-04-13,1919671.75
2011-04-14,1872911.375
2011-04-15,1884476.0
2011-04-18,1921179.875
2011-04-19,1869392.375
2011-04-20,1841738.75
2011-04-21,1809056.5
2011-04-25,1898554.0
2011-04-26,1955369.875
2011-04-27,1861347.0
2011-04-28,1881459.25
2011-04-29,1826654.5
2011-05-02,1946822.75
2011-05-03,2070007.125
2011-05-04,2064979.5
2011-05-05,2221851.0
2011-05-06,2211292.75
2011-05-09,2130342.5
2011-05-10,2159002.0
2011-05-11,2298275.5
2011-05-12,2329952.0
2011-05-13,2367159.0
2011-05-16,2343527.5
2011-05-17,2298275.5
2011-05-18,2267605.5
2011-05-19,2246990.25
2011-05-20,2231907.0
2011-05-23,2269114.5
2011-05-24,2164532.75
2011-05-25,2133359.25
2011-05-26,2129336.75
2011-05-27,2064476.125
2011-05-31,2048387.125
2011-06-01,2124811.5
2011-06-02,2156487.75
2011-06-03,2167046.5
2011-06-06,2296265.25
2011-06-07,2310343.25
2011-06-08,2410902.25
2011-06-09,2325929.5
2011-06-10,2409896.75
2011-06-13,2487830.0
2011-06-14,2408891.0
2011-06-15,2437550.25
2011-06-16,2553193.0
2011-06-17,2533583.75
2011-06-20,2507941.5
2011-06-21,2337494.75
2011-06-22,2280678.0
2011-06-23,2339505.25
2011-06-24,2459673.75
2011-06-27,2464701.5
2011-06-28,2393304.5
2011-06-29,2291237.25
2011-06-30,2273639.25
2011-07-01,2347047.75
2011-07-05,2197214.75
2011-07-06,2139895.75
2011-07-07,2130846.0
2011-07-08,2131348.75
2011-07-11,2177605.0
2011-07-12,2043861.875
2011-07-13,1906096.0
2011-07-14,1930230.375
2011-07-15,1878945.375
2011-07-18,1818609.625
2011-07-19,1875928.375
2011-07-20,1835704.875
2011-07-21,1852799.75
2011-07-22,1808553.625
2011-07-25,1838721.625
2011-07-26,1837715.875
2011-07-27,1948330.75
2011-07-28,1970956.625
2011-07-29,2052912.0
2011-08-01,2015705.75
2011-08-02,1945314.25
2011-08-03,1892018.0
2011-08-04,2105203.0
2011-08-05,2139393.0
2011-08-08,2144924.0
2011-08-09,1963415.125
2011-08-10,1835201.875
2011-08-11,1816598.75
2011-08-12,1854811.25
2011-08-15,1750732.375
2011-08-16,1786431.0
2011-08-17,1757268.75
2011-08-18,1817604.125
2011-08-19,1725592.25
2011-08-22,1588832.375
2011-08-23,1698944.75
2011-08-24,1782409.0
2011-08-25,1718553.5
2011-08-26,1634083.75
2011-08-29,1663246.0
2011-08-30,1608441.625
2011-08-31,1615480.625
2011-09-01,1586821.125
2011-09-02,1507882.375
2011-09-06,1493301.125
2011-09-07,1484753.875
2011-09-08,1430451.75
2011-09-09,1465647.5
2011-09-12,1549111.5
2011-09-13,1525982.875
2011-09-14,1586821.125
2011-09-15,1602407.75
2011-09-16,1545592.125
2011-09-19,1564698.25
2011-09-20,1459614.25
2011-09-21,1518441.25
2011-09-22,1749727.125
2011-09-23,1927213.5
2011-09-26,1861347.0
2011-09-27,1877939.5
2011-09-28,2040845.0
2011-09-29,2017213.375
2011-09-30,1997101.75
2011-10-03,2049392.625
2011-10-04,2190175.5
2011-10-05,1994085.0
2011-10-06,1896543.25
2011-10-07,1988051.875
2011-10-10,1846766.5
2011-10-11,1840229.875
2011-10-12,1809559.5
2011-10-13,1877436.875
2011-10-14,1766319.375
2011-10-17,1848274.75
2011-10-18,1830174.25
2011-10-19,2043861.875
2011-10-20,2076543.625
2011-10-21,2012689.0
2011-10-24,1853302.875
2011-10-25,1760788.625
2011-10-26,1727603.75
2011-10-27,1660732.25
2011-10-28,1580285.0
2011-10-31,1673302.0
2011-11-01,1681849.625
2011-11-02,1607436.0
2011-11-03,1506876.875
2011-11-04,1526988.875
2011-11-07,1431458.0
2011-11-08,1464139.5
2011-11-09,1548609.0
2011-11-10,1574251.375
2011-11-11,1463133.375
2011-11-14,1514921.625
2011-11-15,1508888.125
2011-11-16,1559167.875
2011-11-17,1682854.875
2011-11-18,1729614.875
2011-11-21,1792967.5
2011-11-22,1730620.5
2011-11-23,1823637.5
2011-11-25,1871906.125
2011-11-28,1775369.375
2011-11-29,1757771.375
2011-11-30,1515927.0
2011-12-01,1519447.0
2011-12-02,1668777.125
2011-12-05,1707492.375
2011-12-06,1613469.375
2011-12-07,1606430.375
2011-12-08,1747715.5
2011-12-09,1696430.625
2011-12-12,1878945.375
2011-12-13,2059816.25
2011-12-14,2230228.5
2011-12-15,2325256.75
2011-12-16,2195190.0
2011-12-19,2379406.0
2011-12-20,2124053.0
2011-12-21,2133608.75
2011-12-22,2185635.25
2011-12-23,2136793.75
2011-12-27,2230228.5
2011-12-28,2463286.0
2011-12-29,2318355.75
2011-12-30,2261550.5
2012-01-03,1953109.375
2012-01-04,1956294.875
2012-01-05,1952577.875
2012-01-06,2001419.75
2012-01-09,1976467.875
2012-01-10,1878785.75
2012-01-11,1894711.875
2012-01-12,1849587.625
2012-01-13,1919132.75
2012-01-17,2006728.375
2012-01-18,1999826.875
2012-01-19,2122460.5
2012-01-20,2117151.25
2012-01-23,2021592.625
2012-01-24,2154313.0
2012-01-25,1736509.75
2012-01-26,1676520.375
2012-01-27,1562912.0
2012-01-30,1611753.125
2012-01-31,1609629.375
2012-02-01,1600604.5
2012-02-02,1523095.875
2012-02-03,1601135.375
2012-02-06,1621309.125
2012-02-07,1648914.75
2012-02-08,1687669.0
2012-02-09,1697755.875
2012-02-10,1776325.875
2012-02-13,1791721.5
2012-02-14,1847994.875
2012-02-15,1868699.125
2012-02-16,1722176.125
2012-02-17,1796499.625
2012-02-21,1636173.5
2012-02-22,1553356.25
2012-02-23,1521503.5
2012-02-24,1569813.875
2012-02-27,1603790.0
2012-02-28,1497613.75
2012-02-29,1647853.0
2012-03-01,1608567.375
2012-03-02,1695632.5
2012-03-05,1802870.125
2012-03-06,1919132.75
2012-03-07,1902144.5
2012-03-08,1834723.0
2012-03-09,1829945.125
2012-03-12,1922318.0
2012-03-13,1958418.25
2012-03-14,2179264.0
2012-03-15,2177671.5
2012-03-16,2205808.5
2012-03-19,2242970.0
2012-03-20,2211117.0
2012-03-21,2228105.0
2012-03-22,2353923.75
2012-03-23,2215364.25
2012-03-26,2096447.0
2012-03-27,2186165.25
2012-03-28,2312515.25
2012-03-29,2297650.75
2012-03-30,2228105.0
2012-04-02,2115558.5
2012-04-03,2318355.75
2012-04-04,2612463.0
2012-04-05,2693687.25
2012-04-09,2651217.0
2012-04-10,2552473.25
2012-04-11,2641661.25
2012-04-12,2357640.25
2012-04-13,2451075.0
2012-04-16,2580079.25
2012-04-17,2505224.75
2012-04-18,2582202.5
2012-04-19,2585387.5
2012-04-20,2667674.0
2012-04-23,2846581.0
2012-04-24,2838617.5
2012-04-25,2618833.5
2012-04-26,2619363.75
2012-04-27,2529645.25
2012-04-30,2597598.0
2012-05-01,2583264.5
2012-05-02,2718108.0
2012-05-03,3026549.75
2012-05-04,3002129.5
2012-05-07,3076983.5
2012-05-08,3387017.5
2012-05-09,3193777.0
2012-05-10,3177319.75
2012-05-11,3329151.5
2012-05-14,3655112.25
2012-05-15,4088842.0
2012-05-16,4036814.0
2012-05-17,3485760.75
2012-05-18,3413561.25
2012-05-21,3058402.25
2012-05-22,3159800.5
2012-05-23,2752084.0
2012-05-24,2706429.0
2012-05-25,2649625.0
2012-05-29,2788715.0
2012-05-30,2769603.25
2012-05-31,2857198.5
2012-06-01,2308798.75
2012-06-04,2195721.25
2012-06-05,2164930.75
2012-06-06,2147412.0
2012-06-07,2367726.5
2012-06-08,2319417.0
2012-06-11,2416037.5
2012-06-12,2240847.0
2012-06-13,2239784.75
2012-06-14,2218018.0
2012-06-15,2222796.5
2012-06-18,2104409.75
2012-06-19,2115027.75
2012-06-20,2170770.0
2012-06-21,2505224.75
2012-06-22,2601314.0
2012-06-25,2444174.0
2012-06-26,2556189.0
2012-06-27,2591227.5
2012-06-28,2753146.0
2012-06-29,2483990.5
2012-07-02,2479212.25
2012-07-03,2195721.25
2012-07-05,2294996.0
2012-07-06,2491953.25
2012-07-09,2530707.0
2012-07-10,2777566.25
2012-07-11,2942139.25
2012-07-12,2995227.5
2012-07-13,2865161.75
2012-07-16,2888520.75
2012-07-17,2985141.0
2012-07-18,3097156.25
2012-07-19,3008499.25
2012-07-20,2979832.25
2012-07-23,3190060.5
2012-07-24,3191653.25
2012-07-25,2893829.75
2012-07-26,2720231.75
2012-07-27,2656525.75
2012-07-30,2558313.0
2012-07-31,2697403.75
2012-08-01,2808888.25
2012-08-02,2866754.5
2012-08-03,2715984.25
2012-08-06,2537608.75
2012-08-07,2437272.0
2012-08-08,2477619.5
2012-08-09,2392677.5
2012-08-10,2340120.75
2012-08-13,2428778.0
2012-08-14,2473903.0
2012-08-15,2449482.5
2012-08-16,2199438.0
2012-08-17,2239784.75
2012-08-20,2196783.5
2012-08-21,2085298.5
2012-08-22,1943022.375
2012-08-23,1942491.625
2012-08-24,1930281.5
2012-08-27,1993455.75
2012-08-28,2006197.125
2012-08-29,2075211.25
2012-08-30,2118213.0
2012-08-31,1851180.25
2012-09-04,1874008.25
